year,index,value
2019,Chile_AcousN,1487.070000
2020,Chile_AcousN,1728.268000
2021,Chile_AcousN,1870.357000
2022,Chile_AcousN,
2023,Chile_AcousN,2502.157000
2024,Chile_AcousN,2788.465000
2025,Chile_AcousN,3058.843000
2019,Chile_CPUE,102.905000
2020,Chile_CPUE,96.313880
2021,Chile_CPUE,93.705280
2022,Chile_CPUE,90.157040
2023,Chile_CPUE,98.162460
2024,Chile_CPUE,82.478490
2025,Chile_CPUE,97.286630
2019,Peru_Artis,0.4132993
2020,Peru_Artis,0.4681688
2021,Peru_Artis,0.4675591
2022,Peru_Artis,0.5708413
2023,Peru_Artis,0.6166017
2024,Peru_Artis,0.6721997
2025,Peru_Artis,0.4946125
2019,Peru_Ind,0.6226360
2020,Peru_Ind,0.6780000
2021,Peru_Ind,0.7107320
2022,Peru_Ind,0.7359950
2023,Peru_Ind,0.6827690
2024,Peru_Ind,0.6561470
2025,Peru_Ind,0.6296600
2019,Offshore_CPUE,605.2857
2020,Offshore_CPUE,651.8802
2021,Offshore_CPUE,921.8033
2022,Offshore_CPUE,1339.6930
2023,Offshore_CPUE,1169.4020
2024,Offshore_CPUE,428.0537
2025,Offshore_CPUE,
