iter,hs_minus_20_run,hs_minus_20_present,hs_plus_20_run,hs_plus_20_present,projection_years_per_panel
8,tun43,TRUE,tun29,TRUE,26
9,tun43,TRUE,tun29,TRUE,26
11,tun43,TRUE,tun29,TRUE,26
13,tun43,TRUE,tun29,TRUE,26
23,tun43,TRUE,tun29,TRUE,26
29,tun43,TRUE,tun29,TRUE,26
30,tun43,TRUE,tun29,TRUE,26
32,tun43,TRUE,tun29,TRUE,26
37,tun43,TRUE,tun29,TRUE,26
45,tun43,TRUE,tun29,TRUE,26
46,tun43,TRUE,tun29,TRUE,26
49,tun43,TRUE,tun29,TRUE,26
51,tun43,TRUE,tun29,TRUE,26
52,tun43,TRUE,tun29,TRUE,26
58,tun43,TRUE,tun29,TRUE,26
62,tun43,TRUE,tun29,TRUE,26
63,tun43,TRUE,tun29,TRUE,26
65,tun43,TRUE,tun29,TRUE,26
66,tun43,TRUE,tun29,TRUE,26
71,tun43,TRUE,tun29,TRUE,26
74,tun43,TRUE,tun29,TRUE,26
80,tun43,TRUE,tun29,TRUE,26
82,tun43,TRUE,tun29,TRUE,26
88,tun43,TRUE,tun29,TRUE,26
89,tun43,TRUE,tun29,TRUE,26
90,tun43,TRUE,tun29,TRUE,26
92,tun43,TRUE,tun29,TRUE,26
93,tun43,TRUE,tun29,TRUE,26
96,tun43,TRUE,tun29,TRUE,26
98,tun43,TRUE,tun29,TRUE,26
